Amsterdam,Bangkok,Beijing,Berlin,Boston,Brussels,Cairo,Chicago,Copenhagen,Frankfurt,Fukuoka,Geneva,Hong Kong,Kuala Lumpur,London,Los Angeles,Madrid,Milan,Moscow,Mumbai,New York,Osaka,Paris,San Francisco,Sao Paulo,Seoul,Shanghai,Singapore,Sydney,Taipei,Tokyo,Toronto,Vancouver,Vienna,Zurich
1,Nominal GDP,6.3,1.1,26.4,15.1,5.3,9.5,0.0,18.2,3.1,8.5,6.7,2.8,29.3,0.8,80.8,25.5,16.0,7.0,29.5,3.3,83.0,25.9,32.8,10.1,25.1,29.2,33.0,29.1,26.2,4.2,100.0,12.5,1.0,11.4,1.2
2,GDP per Capita,63.7,1.1,6.4,27.5,50.8,70.1,0.0,41.1,71.9,93.7,35.1,66.5,23.7,9.7,58.2,44.1,34.7,43.2,15.3,0.0,56.2,59.3,100.0,61.1,12.3,16.0,6.7,33.6,35.2,13.0,64.4,32.5,32.3,51.0,56.3
3,GDP Growth Rate,17.2,27.4,100.0,7.4,10.9,15.5,53.8,0.9,16.4,14.7,9.9,19.4,35.4,61.4,33.2,11.5,32.1,3.5,43.1,69.2,12.4,0.0,14.1,25.3,97.9,23.5,97.0,55.8,23.9,27.5,6.0,6.0,27.8,17.3,19.4
4,Total Market Value of Listed Shares on Stock Exchanges,1.8,1.1,-,-,-,0.5,0.0,-,0.9,7.8,-,-,15.3,1.9,20.5,-,3.5,-,5.0,9.0,100.0,1.1,8.1,-,8.5,5.9,15.3,3.3,8.0,4.3,21.8,12.1,-,0.2,6.7
5,World's Top 300 Companies,11.5,3.5,68.4,3.0,1.4,6.3,0.0,5.1,5.3,8.8,0.0,0.0,1.4,4.7,57.3,2.3,16.5,7.7,14.3,3.5,42.7,18.2,77.0,12.6,4.4,22.9,2.5,0.0,0.1,5.0,100.0,4.4,0.0,0.0,14.5
6,Total Employees,2.9,35.9,93.7,14.4,3.2,5.1,18.6,10.3,1.8,4.4,7.2,0.0,32.8,5.0,38.3,13.0,12.3,6.2,55.7,47.0,33.5,21.9,16.5,3.8,49.9,38.3,100.0,28.1,15.1,9.7,73.9,10.9,2.1,7.6,2.0
7,Unemployment Rate,85.8,100.0,76.4,50.4,47.2,54.3,35.4,22.8,82.7,50.4,62.2,82.7,81.1,83.5,67.7,0.0,20.2,56.7,59.8,75.5,40.2,55.1,51.2,34.6,44.9,84.3,76.4,78.0,76.4,76.9,66.1,61.4,61.4,79.5,82.7
8,Number of Employees in Service Industry for Business Enterprises,5.6,4.2,100.0,16.3,2.6,5.5,1.6,12.5,2.5,2.7,6.1,0.0,28.2,1.2,40.3,14.9,11.2,3.7,20.9,15.6,37.6,20.5,19.8,4.6,40.6,41.6,64.9,15.0,21.2,9.4,70.0,15.2,9.9,8.0,1.7
9,Wage Level,49.4,4.4,5.0,47.7,78.1,53.5,3.8,54.6,82.8,53.6,36.5,82.1,21.2,7.5,49.6,62.6,33.9,39.7,17.9,0.0,69.3,36.6,43.7,100.0,20.3,23.0,7.0,17.5,64.2,20.0,52.4,53.7,82.7,45.7,85.5
10,Easiness of Securing Human Resource,3.9,7.9,13.1,14.7,26.3,6.1,0.0,13.8,8.2,12.3,3.3,12.7,16.2,6.5,44.7,15.6,8.0,4.8,4.5,10.1,50.0,4.6,32.6,15.5,7.3,6.4,20.4,25.4,4.9,6.3,37.8,7.7,6.6,6.3,3.7
