Amsterdam,Bangkok,Barcelona,Beijing,Berlin,Boston,Brussels,Cairo,Chicago,Copenhagen,Frankfurt,Fukuoka,Geneva,Hong Kong,Istanbul,Kuala Lumpur,London,Los Angeles,Madrid,Mexico City,Milan,Moscow,Mumbai,New York,Osaka,Paris,San Francisco,Sao Paulo,Seoul,Shanghai,Singapore,Stockholm,Sydney,Taipei,Tokyo,Toronto,Vancouver,Vienna,Washington D.C.,Zurich
1,Nominal GDP,4.3,8.8,5.9,30.7,11.3,4.0,7.5,0.0,15.6,1.9,5.3,6.2,2.7,26.4,20.0,1.3,55.7,20.6,11.5,17.2,6.4,33.7,2.9,72.5,19.6,25.6,7.6,27.5,24.5,34.3,28.9,3.2,29.6,3.1,100.0,11.1,0.3,8.7,9.2,2.9
2,GDP per Capita,47.9,7.6,27.9,6.4,20.2,40.4,48.7,0.0,33.2,45.6,61.8,31.7,62.7,20.5,7.6,11.3,32.2,32.4,22.2,9.3,36.1,15.5,0.9,47.5,44.3,67.1,45.3,13.0,12.6,6.2,30.4,37.5,36.2,10.5,60.5,27.3,26.4,35.0,100.0,80.2
3,GDP Growth Rate,22.9,42.1,12.5,100.0,34.8,28.6,25.9,53.9,15.1,25.9,13.9,14.5,17.6,56.0,99.7,91.4,32.4,9.8,18.3,24.6,34.7,16.2,87.4,13.3,0.0,26.9,21.5,47.0,29.1,97.1,64.2,38.6,38.7,42.7,9.2,56.0,54.0,22.6,29.2,15.4
4,Level of Economic Freedom,58.4,29.9,40.1,1.5,56.3,61.6,47.0,2.7,61.6,63.2,56.3,53.5,77.6,100.0,33.9,46.3,60.2,61.6,40.1,38.9,23.7,0.0,9.9,61.6,53.5,30.2,61.6,13.0,50.5,1.5,98.1,55.4,78.8,57.6,53.5,73.9,73.9,53.6,61.6,77.6
5,Total Market Value of Listed Shares on Stock Exchanges,3.4,1.5,1.1,0.0,-,-,1.6,0.3,-,1.3,8.1,2.4,0.0,12.9,0.8,2.1,16.4,0.0,2.8,2.2,2.6,3.2,4.7,100.0,0.0,9.6,0.0,4.2,5.1,10.4,3.1,3.1,5.7,3.4,18.9,8.8,-,0.5,0.0,6.4
6,World's Top 300 Companies,7.1,4.9,0.0,100.0,2.3,0.1,0.0,0.0,4.8,3.2,3.8,0.0,0.0,8.3,1.9,5.0,37.6,0.0,16.4,9.1,3.0,18.1,6.9,32.7,14.8,49.9,10.8,0.6,24.9,8.4,1.7,0.0,3.5,0.0,85.9,0.4,0.0,2.8,9.5,1.0
7,Total Employees,3.0,42.5,4.8,99.3,14.6,4.1,5.0,19.8,14.2,1.8,4.4,6.9,0.0,32.5,40.9,6.1,48.7,18.5,11.0,48.5,6.3,60.1,44.2,45.1,20.9,15.8,5.6,46.2,44.9,100.0,30.3,4.1,15.6,10.4,70.4,10.7,1.6,7.5,6.2,2.0
8,Number of Employees in Service Industry for Business Enterprises,4.7,15.1,3.4,100.0,13.7,1.7,6.3,6.2,9.9,1.2,7.5,4.9,0.0,26.5,13.1,5.1,70.0,12.7,10.0,12.3,6.6,18.4,12.9,31.9,17.4,16.7,4.1,33.7,39.4,59.4,15.6,5.3,14.8,8.2,60.2,12.5,2.4,5.5,2.0,2.3
9,Wage Level,51.7,4.5,37.9,6.3,52.4,68.9,54.1,1.9,55.4,84.9,59.1,52.7,85.3,25.4,14.4,9.6,52.6,57.6,35.9,3.9,45.8,16.2,0.0,67.8,52.7,51.6,100.0,16.0,34.3,9.2,22.1,55.1,63.4,18.4,62.2,50.6,98.1,53.1,90.6,90.8
10,Ease of Securing Human Resources,17.4,11.1,24.7,19.8,15.6,31.9,13.0,10.5,26.2,17.9,17.5,5.3,9.3,11.3,15.3,5.5,42.0,26.2,23.0,9.2,19.7,7.8,15.8,50.0,11.4,27.0,25.4,0.0,26.3,25.2,29.8,22.2,20.7,9.3,35.0,21.9,16.9,9.7,28.1,14.5
11,Office Space per Workstation,91.7,35.2,39.8,19.4,100.0,72.2,64.8,60.6,60.2,68.5,81.5,58.4,68.5,41.7,25.9,79.6,32.4,34.3,34.3,33.3,45.4,16.6,0.0,63.9,55.6,45.4,34.3,24.1,54.6,21.3,39.8,97.2,69.4,64.8,50.9,95.4,75.0,36.1,70.4,76.9
12,Corporate Tax Rate,70.9,88.0,53.7,70.9,53.1,18.8,40.0,70.9,15.4,72.6,47.1,34.6,73.7,100.0,88.0,70.9,77.7,16.9,53.7,53.7,48.9,88.0,40.0,0.0,34.6,42.3,16.9,70.9,73.6,70.9,98.3,81.1,53.7,98.3,34.4,65.7,67.4,70.9,14.4,84.0
13,Level of Political Economic and Business Risk,100.0,66.7,73.3,80.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,53.3,73.3,100.0,100.0,73.3,73.3,66.7,66.7,46.7,100.0,100.0,100.0,100.0,53.3,93.3,80.0,100.0,100.0,100.0,86.7,100.0,100.0,100.0,100.0,100.0,100.0
14,Number of Researchers,2.9,2.1,5.0,20.0,14.6,27.0,6.4,3.8,50.3,4.6,4.9,9.9,0.0,21.0,11.8,2.6,45.1,69.0,11.5,5.4,3.6,46.2,0.9,100.0,28.2,32.5,24.2,16.5,61.4,20.7,33.8,6.3,18.7,16.9,93.0,13.3,2.5,8.7,33.7,1.3
